Index;ID;Lat;Lon;Elv;Yr1;YrEnd;Yrs;Name;Prov;Fit
642;7066080;48.3;-71.21;164;1969;1984;15;PORTAGE DES ROCHES;QC;Lin
643;7066685;48.51;-72.26;178;1970;2012;31;ROBERVAL A;QC;Lin
644;7067060;48.63;-71.71;106;1967;1993;27;ST COEUR DE MARIE;QC;Lin
645;706Q001;48.29;-70.91;151;1998;2024;26;LA BAIE;QC;Lin
646;7072816;47.1;-72.93;119;1982;1999;15;GRANDE ANSE;QC;Poly
647;7075800;47.92;-74.62;444;1970;2024;30;PARENT;QC;Lin
648;7077571;46.81;-74.09;429;1970;2023;37;SAINT-MICHEL-DES-SAINTS;QC;Poly
649;707DBD4;47.41;-72.78;168;1968;2024;26;LA TUQUE;QC;Lin
650;7080452;47.55;-79.23;266;1967;2007;40;BARRAGE ANGLIERS;QC;Lin
651;7080468;46.7;-79.1;181;1968;2024;55;BARRAGE TEMISCAMINGUE;QC;Lin
652;7090120;48.56;-78.13;310;1969;1998;27;AMOS;QC;Lin
653;7091299;49.82;-74.97;381;1964;2024;54;CHAPAIS;QC;Lin
654;7093716;53.62;-77.7;194;1977;2015;28;LA GRANDE RIVIERE A;QC;Lin
655;7093GJ5;53.75;-73.67;302;1987;2024;19;LA GRANDE IV;QC;Lin
656;7094120;48.78;-79.21;244;1983;1999;17;LA SARRE;QC;Lin
657;7094637;49.75;-77.79;281;1969;2024;30;MATAGAMI;QC;Lin
658;7095480;53.2;-70.9;536;1968;1985;17;NITCHEQUON;QC;Lin
659;7096621;48.2;-78.13;305;1981;1999;16;RIVIERE HEVA;QC;Poly
660;7098603;48.05;-77.78;338;1961;2024;45;VAL-D OR;QC;Lin
661;7103539;55.36;-77.56;30;1969;2024;38;KUUJJUARAPIK;QC;Lin
662;710S005;58.47;-78.07;26;1970;2024;35;INUKJUAK;QC;Lin
663;7113534;58.1;-68.41;39;1970;2013;32;KUUJJUAQ A;QC;Lin
664;7116270;61.05;-69.63;30;1972;1987;10;QUAQTAQ;QC;Lin
665;7116505;57.9;-72.97;171;2014;2024;10;RIVIERE AUX FEUILLES;QC;Lin
666;7117824;54.8;-66.8;517;1965;2024;32;SCHEFFERVILLE COTE-NORD;QC;Lin
667;8100467;47.8;-64.83;5;2004;2024;20;BAS CARAQUET;NB;Lin
668;8100512;46.53;-67.66;91;1959;1969;10;BEECHWOOD;NB;Lin
669;8100514;47.9;-65.83;7;1971;1989;17;BELLEDUNE;NB;Lin
670;8100593;46.43;-64.76;35;1982;2021;25;BOUCTOUCHE CDA CS;NB;Lin
671;8100885;47.99;-66.33;42;1959;2024;62;CHARLO AUTO;NB;Lin
672;8100989;47;-65.46;33;1964;2024;46;MIRAMICHI RCS;NB;Lin
673;8101201;46.58;-66;43;2013;2024;12;DOAKTOWN AUTO RCS;NB;Lin
674;8101303;47.41;-68.32;154;2005;2024;19;EDMUNDSTON;NB;Lin
675;8101500;45.87;-66.52;20;1984;1994;11;FREDERICTON A;NB;Lin
676;8101605;45.92;-66.6;35;1959;2024;56;FREDERICTON CDA CS;NB;Lin
677;8101925;44.71;-66.8;78;2004;2024;20;GRAND MANAN SAR CS;NB;Lin
678;8102848;45.69;-65.16;403;2006;2024;18;MECHANIC SETTLEMENT;NB;Lin
679;8103050;48;-64.49;4;2007;2024;16;MISCOU ISLAND (AUT);NB;Lin
680;8103201;46.11;-64.67;70;1946;2016;67;MONCTON GREATER MONCTON ROMEO LEBLANC IN;NB;Lin
681;8104201;45.07;-66.44;6;2004;2016;11;POINT LEPREAU CS;NB;Lin
682;8104295;47.43;-65.59;124;2012;2024;12;RED PINES;NB;Lin
683;8104480;46.05;-66.71;115;1966;1992;26;ROYAL ROAD;NB;Lin
684;8104482;46.08;-66.73;160;1966;1978;12;ROYAL ROAD WEST;NB;Lin
685;8104800;45.28;-66.08;30;1924;1950;20;SAINT JOHN;NB;Lin
686;8104905;45.28;-65.81;94;1958;2024;42;GARNETT SETTLEMENT;NB;Lin
687;8104935;45.21;-67.25;26;2005;2024;18;ST. STEPHEN;NB;Lin
688;8105100;47.78;-68.33;411;1955;1973;17;SUMMIT DEPOT;NB;Lin
689;8105210;45.74;-65.52;47;1985;2024;12;SUSSEX FOUR CORNERS;NB;Lin
690;8105603;46.15;-67.54;154;1983;2024;12;WOODSTOCK NEWBRIDGE;NB;Lin
691;810I001;47.15;-67.83;245;1985;2016;31;ST LEONARD CS;NB;Lin
692;8200255;43.45;-65.47;4;2007;2024;17;BACCARO PT;NS;Lin
693;8200604;44.28;-66.34;15;2004;2024;20;BRIER ISLAND;NS;Poly
694;8200774;45.76;-62.68;2;2004;2024;20;CARIBOU POINT (AUT);NS;Lin
695;8201390;45.41;-63.46;37;2004;2023;19;DEBERT;NS;Poly
696;8201716;45.51;-61.25;66;1972;1985;13;EDDY POINT;NS;Lin
697;8201780;45.92;-60.64;28;2013;2024;11;ESKASONI FIRST NATION AUTOMATIC WEATHER;NS;Lin
698;8202000;44.98;-64.91;28;1964;2016;44;GREENWOOD A;NS;Lin
699;8202200;44.65;-63.56;31;1941;1973;22;HALIFAX;NS;Lin
700;8202251;44.88;-63.5;145;1977;2017;22;HALIFAX STANFIELD INT L A;NS;Lin
701;8202502;46.66;-60.4;10;1983;2024;24;INGONISH BEACH RCS;NS;Lin
702;8202592;44.4;-65.2;125;2006;2024;17;KEJIMKUJIK 1;NS;Lin
703;8202810;45.06;-64.48;48;1960;2024;47;KENTVILLE CDA CS;NS;Lin
704;8203702;45.75;-64.24;19;2004;2024;20;NAPPAN AUTO;NS;Lin
705;8204154;46.36;-60.97;54;2010;2024;11;NORTHEAST MARGAREE (AUT);NS;Lin
706;8204193;45.23;-63.05;23;2006;2024;18;UPPER STEWIACKE RCS;NS;Lin
707;8204402;45.41;-64.34;30;2005;2024;20;PARRSBORO;NS;Lin
708;8204708;43.93;-60;1;1962;2024;58;SABLE ISLAND;NS;Lin
709;8205085;45.01;-64.63;137;1968;1977;10;SHARPE BROOK IHD;NS;Lin
710;8205092;44.62;-63.51;22;1955;2024;69;SHEARWATER RCS;NS;Lin
711;8205130;43.7;-65.31;46;1973;2024;23;SHELBURNE SANDY POINT;NS;Lin
712;8205702;46.16;-60.04;62;1961;2024;62;SYDNEY CS;NS;Lin
713;8205895;45.6;-61.67;66;2008;2024;15;TRACADIE;NS;Lin
714;8205990;45.36;-63.26;39;1958;2001;21;TRURO;NS;Lin
715;8206240;43.99;-64.66;10;1970;2024;25;WESTERN HEAD;NS;Lin
716;8206491;43.83;-66.08;36;1971;2024;49;YARMOUTH RCS;NS;Lin
